id,title,area,wpf_location,status,difficulty,priority
A67,样式数值滚轮步进,样式,OnIntMouseWheel / MindMapPanel.xaml.cs:2657-2680,部分实现,低,P2
A68,清除文本/节点/边框/连线,样式,ClearNodeStyleScopeAsync / MindMapPanel.xaml.cs:2773-2788,缺失,中,P1
A69,根节点禁用连线,样式,SetLineStyleEnabled / MindMapPanel.xaml.cs:2488-2498,部分实现,低,P2
A70,动态字号回显,样式,SelectFontSize / MindMapPanel.xaml.cs:2500-2519,部分实现,低,P2
B1,字号档位可配置,样式,sizeBox / MindMapPanel.xaml.cs:38-41,优化建议,低,P2
B2,动态字体回显,样式,SelectFontFamily / MindMapPanel.xaml.cs:2521-2544,优化建议,低,P2
B3,RGBA 颜色解析,样式,ParseColor / MindMapPanel.xaml.cs:2547-2581,优化建议,低,P2
B4,样式面板防回写,样式,_syncingStyle / MindMapPanel.xaml.cs:2428-2486,优化建议,中,P1
B5,文字垂直对齐三档,样式,valign / MindMapPanel.xaml.cs:2278-2288,优化建议,低,P2
B6,水平对齐回显,样式,textalign / MindMapPanel.xaml.cs:2291-2301,优化建议,低,P2
B7,加粗/斜体/删除线回显,样式,OnAppearanceClick / MindMapPanel.xaml.cs:2473-2475,优化建议,低,P2
B8,节点样式快照清除,样式,OnClearAllStyleClick / MindMapPanel.xaml.cs:2790-2806,优化建议,低,P2
B9,样式刷复制粘贴,样式,Copy/PasteNodeStyle / MindMapPanel.xaml.cs:2808-2822,优化建议,中,P1
B10,外框标签编辑,结构,boundary,优化建议,中,P2
B11,概要节点插入,结构,summary,优化建议,高,P1
B12,关联线/关系线,结构,relation,优化建议,高,P1
B13,备注面板打开,标签,SetNoteAsync / MindMapPanel.xaml.cs:409-417,优化建议,中,P2
B14,超链接留空移除,标签,SetHyperlinkAsync / MindMapPanel.xaml.cs:389-397,优化建议,低,P2
B15,图片自动转 dataURL,图片,LoadImageAsDataUri / MindMapPanel.xaml.cs:997-1046,有但行为不同,中,P2
B16,ico 最大帧转 PNG,图片,LoadImageAsDataUri / MindMapPanel.xaml.cs:1012-1028,缺失,高,P1
B17,自定义图片图标,图片,OnBrowseImageClick / MindMapPanel.xaml.cs:975-986,缺失,高,P1
B18,清除图片,图片,OnClearIconClick / MindMapPanel.xaml.cs:988-994,缺失,低,P2
B19,优先级 0 清除,标签,OnPriorityClick / MindMapPanel.xaml.cs:893-899,缺失,低,P2
B20,进度 0 清除,标签,OnProgressClick / MindMapPanel.xaml.cs:901-907,缺失,低,P2
B21,附件卡片播放状态,附件,VideoTipText / MindMapPanel.xaml.cs:568-578,优化建议,中,P2
B22,附件 Blob URL 生命周期,附件,getAsset / README 已知限制,优化建议,中,P1
B23,附件跨机迁移提示,附件,XMind 资源 / README 已知限制,优化建议,低,P3
B24,文件类型/修改时间,附件,FileInfoHost / MindMapPanel.xaml.cs:551-578,部分实现,低,P2
B25,附件大小格式化,附件,SizeText / MindMapPanel.xaml.cs:560,部分实现,低,P3
B26,附件失效但仍显示,附件,状态行 / BuildInfoRow / MindMapPanel.xaml.cs:594-615,优化建议,低,P2
B27,附件移除后同步侧栏,附件,ClearFilePanel / MindMapPanel.xaml.cs:581-591,优化建议,低,P2
B28,撤销重做统一栈,历史,history / MindMapPanel.xaml.cs:2194-2208,优化建议,高,P0
B29,剪切/复制/粘贴节点,历史,Ctrl+X/C/V,优化建议,中,P1
B30,多选拖拽移动,多选,多选拖拽,优化建议,高,P0
